"geneName","teName","pvalue","coef","padj","pair","kznf_age","te_age","count","repFamily"
"ZNF189","L1PB4",0.0031210332051918,-0.588757675303228,0.047579040980496,"ZNF189-L1PB4","old","old","old-old","L1"
"ZNF189","X9_LINE",0.0289023938874342,-0.455615579945967,0.161509140155246,"ZNF189-X9_LINE","old","old","old-old","L1"
"ZSCAN29","L1MEg",0.00359399476797384,-0.581730227692706,0.0514061354731597,"ZSCAN29-L1MEg","old","old","old-old","L1"
"ZNF287","Eulor9A",0.00461734462054402,-0.568855750283607,0.0590694303052868,"ZNF287-Eulor9A","old","old","old-old","DNA"
"ZNF287","L1M2",0.0133943683395621,-0.507702873212733,0.105854718734813,"ZNF287-L1M2","old","old","old-old","L1"
"ZNF287","L1M2a1",0.0260338925588981,-0.463160406403099,0.152476102941105,"ZNF287-L1M2a1","old","old","old-old","L1"
"ZNF287","L1M3e",0.0186808386308927,-0.486110477703684,0.127094182656845,"ZNF287-L1M3e","old","old","old-old","L1"
"ZNF287","L1P1",0.00474084530327536,-0.56746892626791,0.0600042456835728,"ZNF287-L1P1","old","old","old-old","L1"
"ZNF287","L1P3",0.0297616866090024,-0.453472050866229,0.164125168575214,"ZNF287-L1P3","old","old","old-old","L1"
"ZNF287","L1PA14",0.012190782649668,-0.513578011553645,0.100677227871174,"ZNF287-L1PA14","old","old","old-old","L1"
"ZNF287","L1PA15",0.00851421790665573,-0.535093209641385,0.0827866936807754,"ZNF287-L1PA15","old","old","old-old","L1"
"ZNF287","L1PA2",0.0381277110292137,-0.434819781894976,0.188308116964802,"ZNF287-L1PA2","old","old","old-old","L1"
"ZNF287","L1PA8",0.0110290422453219,-0.519718874357828,0.095392871579896,"ZNF287-L1PA8","old","old","old-old","L1"
"ZNF287","L1PB3",0.00990969399493672,-0.526161280491994,0.0899391831699433,"ZNF287-L1PB3","old","old","old-old","L1"
"ZNF287","L1PBa1",0.0165327119105408,-0.494195417395115,0.118653463251046,"ZNF287-L1PBa1","old","old","old-old","L1"
"ZNF287","MER61B",0.0150227350593608,-0.500406168061103,0.112672124031329,"ZNF287-MER61B","old","young","old-young","ERV1"
"ZFP14","L1M3c",0.00342817073328091,-0.584100317123084,0.0501288979915382,"ZFP14-L1M3c","old","old","old-old","L1"
"ZFP14","L1MA4",0.0469739812458071,-0.418329336722508,0.210885687016149,"ZFP14-L1MA4","old","old","old-old","L1"
"ZFP14","L1PA8",0.0308915601462718,-0.450727277637069,0.167492939734838,"ZFP14-L1PA8","old","old","old-old","L1"
"ZFP14","L1PB4",0.0211754039698869,-0.47761704361936,0.136042669568709,"ZFP14-L1PB4","old","old","old-old","L1"
"ZFP14","LTR59",0.00858834825367447,-0.534589361325764,0.083171854848721,"ZFP14-LTR59","old","young","old-young","ERV1"
"ZFP14","MER83C",0.0444990605030562,-0.422679218372182,0.204732736691681,"ZFP14-MER83C","old","old","old-old","ERV1"
"ZNF473","L1P4e",0.032461253637428,-0.447043507140573,0.172218329827113,"ZNF473-L1P4e","old","old","old-old","L1"
"ZNF514","L1MA7",0.037448875208475,-0.436205256274349,0.186412821618167,"ZNF514-L1MA7","old","old","old-old","L1"
"ZNF514","L1ME5",0.0136809054982825,-0.50636820309568,0.106996932553732,"ZNF514-L1ME5","old","old","old-old","L1"
"ZNF514","L1P4e",0.0317800587137414,-0.448624376689124,0.170141730480205,"ZNF514-L1P4e","old","old","old-old","L1"
"RBAK","AluSc5",0.0253054570730648,-0.465181712961609,0.150090947296824,"RBAK-AluSc5","old","old","old-old","Alu"
"RBAK","AluSc8",0.0333975375800561,-0.444913022442287,0.174867971668659,"RBAK-AluSc8","old","old","old-old","Alu"
"RBAK","AluSc",0.049185097255745,-0.414591630603342,0.216461506504085,"RBAK-AluSc","old","old","old-old","Alu"
"RBAK","AluSg4",0.0419264103792228,-0.427406051041357,0.198160905340163,"RBAK-AluSg4","old","old","old-old","Alu"
"RBAK","AluSp",0.0483109365910634,-0.416053388777783,0.214197768142527,"RBAK-AluSp","old","old","old-old","Alu"
"RBAK","AluSq2",0.0483248117085235,-0.416030027027844,0.214231605686259,"RBAK-AluSq2","old","old","old-old","Alu"
"RBAK","AluY",0.0351859873416362,-0.440971559942134,0.180008015594909,"RBAK-AluY","old","old","old-old","Alu"
"RBAK","AluYa5",0.0247651062840322,-0.466711438216538,0.148283405974803,"RBAK-AluYa5","old","young","old-young","Alu"
"RBAK","AluYb8",0.0385394060930033,-0.433988964277391,0.189408236626984,"RBAK-AluYb8","old","young","old-young","Alu"
"RBAK","AluYc3",0.0393312690310403,-0.43241038671183,0.191578142765574,"RBAK-AluYc3","old","old","old-old","Alu"
"RBAK","AluYc",0.0474479220485179,-0.417516828199646,0.212098043885112,"RBAK-AluYc","old","old","old-old","Alu"
"RBAK","AluYg6",0.0207613651395201,-0.478968734790205,0.134539621493248,"RBAK-AluYg6","old","young","old-young","Alu"
"RBAK","AluYk4",0.0328803362895045,-0.446083957096117,0.173425483114921,"RBAK-AluYk4","old","young","old-young","Alu"
"RBAK","L1M3c",0.0249804725309145,-0.466098563726719,0.148975644843018,"RBAK-L1M3c","old","old","old-old","L1"
"RBAK","MER30B",0.0362291352619331,-0.438745224708268,0.182970941601492,"RBAK-MER30B","old","young","old-young","hAT-Charlie"
"ZNF92","AluY",0.0423712767812207,-0.426572744160013,0.199231585729866,"ZNF92-AluY","young","old","young-old","Alu"
"ZNF92","AluYb8",0.0365797636814754,-0.438008260442543,0.1839626784493,"ZNF92-AluYb8","young","young","young-young","Alu"
"ZNF92","AluYc",0.0309810545589729,-0.450513302201997,0.167761213598428,"ZNF92-AluYc","young","old","young-old","Alu"
"ZNF92","AluYd8",0.03380863033428,-0.443992517718208,0.176105923951071,"ZNF92-AluYd8","young","young","young-young","Alu"
"ZNF92","AluYk12",0.0197114203016178,-0.482496661214565,0.130776652845772,"ZNF92-AluYk12","young","young","young-young","Alu"
"ZNF92","L1HS",0.00837692877197109,-0.53603599938045,0.0820492522161058,"ZNF92-L1HS","young","old","young-old","L1"
"ZNF92","L1M1",0.0368561031775342,-0.437431355630983,0.18473278871758,"ZNF92-L1M1","young","old","young-old","L1"
"ZNF92","L1M2",0.0154134223592592,-0.498752126346911,0.114255055231034,"ZNF92-L1M2","young","old","young-old","L1"
"ZNF92","L1M3c",0.000881996777703137,-0.645397483674178,0.0237080886749824,"ZNF92-L1M3c","young","old","young-old","L1"
"ZNF92","L1MCb",0.0181421588449198,-0.488064063315121,0.125095386692062,"ZNF92-L1MCb","young","old","young-old","L1"
"ZNF92","L1P1",0.0412169782184454,-0.428749382156603,0.19640927791407,"ZNF92-L1P1","young","old","young-old","L1"
"ZNF92","L1P3",0.0143255603387692,-0.503446985813854,0.109858978252755,"ZNF92-L1P3","young","old","young-old","L1"
"ZNF92","L1PA2",0.0224831913774903,-0.473483005557202,0.140586949392348,"ZNF92-L1PA2","young","old","young-old","L1"
"ZNF92","L1PA7",0.00608916174792636,-0.554016065874439,0.0688239655828111,"ZNF92-L1PA7","young","old","young-old","L1"
"ZNF92","L1PA8A",0.0146759810602202,-0.501903848545056,0.111349683863511,"ZNF92-L1PA8A","young","old","young-old","L1"
"ZNF92","L1PB3",0.00657354357503437,-0.549789381414526,0.071814524150085,"ZNF92-L1PB3","young","old","young-old","L1"
"ZNF92","MER61C",0.0397657706237782,-0.431554798400268,0.192694326923462,"ZNF92-MER61C","young","young","young-young","ERV1"
"ZNF157","Arthur1",0.0208274822424163,-0.478751435300507,0.134758497665474,"ZNF157-Arthur1","old","old","old-old","hAT-Tip100"
"ZNF157","L1ME3E",0.049335879322539,-0.41434154046516,0.216777249169814,"ZNF157-L1ME3E","old","old","old-old","L1"
"ZNF157","MST-int",0.000176601707958841,-0.704189275142263,0.00991653428811261,"ZNF157-MST-int","old","old","old-old","ERVL-MaLR"
"ZNF182","L1MA5A",0.0146472402152897,-0.502029275168225,0.111230445765915,"ZNF182-L1MA5A","old","old","old-old","L1"
"ZNF182","L1MEg",0.0217687759907077,-0.475716571017747,0.138097319844199,"ZNF182-L1MEg","old","old","old-old","L1"
"ZNF182","X9_LINE",0.000129470229199016,-0.714149771664125,0.00840515954744468,"ZNF182-X9_LINE","old","old","old-old","L1"
"KRBOX4","MER30",0.0259103229031748,-0.463500078752842,0.152069423115467,"KRBOX4-MER30","old","young","old-young","hAT-Charlie"
"KRBOX4","MER4B-int",0.00349018294867703,-0.583202918382316,0.0506247062437807,"KRBOX4-MER4B-int","old","old","old-old","ERV1"
"ZNF41","AluYa5",0.000164809461964023,-0.706441541451232,0.00954096155434175,"ZNF41-AluYa5","old","young","old-young","Alu"
"ZNF41","AluYk12",0.000138757379067944,-0.711961807563043,0.00871879175579479,"ZNF41-AluYk12","old","young","old-young","Alu"
"ZNF41","MER83C",0.0180793081340587,-0.488295049206969,0.124844184499705,"ZNF41-MER83C","old","old","old-old","ERV1"
"ZNF41","MLT1I-int",0.0102572635233135,-0.524099341340535,0.091685086787042,"ZNF41-MLT1I-int","old","old","old-old","ERVL-MaLR"
"ZNF41","Ricksha",0.010801444345538,-0.520983739412201,0.0943598811650477,"ZNF41-Ricksha","old","old","old-old","MULE-MuDR"
"ZNF7","L1M",0.00918746900024152,-0.530644096524452,0.0863680463883271,"ZNF7-L1M","old","old","old-old","L1"
"ZNF214","HAL1",0.000561151239256164,-0.663260934344449,0.0184947712415796,"ZNF214-HAL1","old","old","old-old","L1"
"ZNF215","AluYg6",0.0133265848397429,-0.508022015286861,0.105567504259854,"ZNF215-AluYg6","old","young","old-young","Alu"
"ZNF215","AluYk4",0.00990661840068762,-0.52617979059511,0.0899363783060398,"ZNF215-AluYk4","old","young","old-young","Alu"
"ZNF215","HAL1",9.05444103776028e-05,-0.725138980265644,0.0069819127948696,"ZNF215-HAL1","old","old","old-old","L1"
"ZNF215","L1M4b",0.00299255033606678,-0.590821416327055,0.0465215190885559,"ZNF215-L1M4b","old","old","old-old","L1"
"ZNF773","AluYa5",0.0438095654407833,-0.423924636862835,0.202967261172979,"ZNF773-AluYa5","old","young","old-young","Alu"
"ZNF773","AluYa8",0.0238926752413284,-0.469238744256234,0.145450498247861,"ZNF773-AluYa8","old","young","old-young","Alu"
"ZNF773","AluYb8",0.0456924407796827,-0.4205588141597,0.207749707078848,"ZNF773-AluYb8","old","young","old-young","Alu"
"ZNF773","AluYg6",0.00899161420081976,-0.531909802508845,0.0853364394953761,"ZNF773-AluYg6","old","young","old-young","Alu"
"ZNF773","AluYk4",0.0231952575398203,-0.471312905040158,0.143065896231055,"ZNF773-AluYk4","old","young","old-young","Alu"
"ZNF773","HERVKC4-int",0.0268385503213969,-0.460979536700238,0.155040170042715,"ZNF773-HERVKC4-int","old","old","old-old","ERVK"
"ZNF773","L1M4b",0.00105993618022524,-0.637803133801769,0.0262584762585314,"ZNF773-L1M4b","old","old","old-old","L1"
"ZNF773","L1PB4",0.0402979103827849,-0.43051689616863,0.194092659556325,"ZNF773-L1PB4","old","old","old-old","L1"
"ZNF773","LTR10D",0.0123095641555076,-0.512977573528057,0.10118551033899,"ZNF773-LTR10D","old","young","old-young","ERV1"
"ZNF773","MER4B-int",0.00189598364824618,-0.612384984818097,0.0362169005749494,"ZNF773-MER4B-int","old","old","old-old","ERV1"
"ZNF776","AluYa5",0.0160835335061885,-0.495992967418153,0.11686793208909,"ZNF776-AluYa5","young","young","young-young","Alu"
"ZNF776","AluYh9",0.0458650581794153,-0.42025569550188,0.208170554231387,"ZNF776-AluYh9","young","young","young-young","Alu"
"ZNF256","HAL1b",0.049933380383224,-0.413356312439161,0.21821619336123,"ZNF256-HAL1b","old","old","old-old","L1"
"ZNF256","L1M3c",0.0157297735609917,-0.497437642056738,0.115470291078861,"ZNF256-L1M3c","old","old","old-old","L1"
"ZNF256","L1PB4",0.0240499042986933,-0.46877786499899,0.145942673451248,"ZNF256-L1PB4","old","old","old-old","L1"
"ZNF256","MLT1I-int",0.02946380059312,-0.454209487439966,0.163212105811135,"ZNF256-MLT1I-int","old","old","old-old","ERVL-MaLR"
"ZSCAN1","L1M2a",0.0245228948632788,-0.467405833519801,0.147485402375607,"ZSCAN1-L1M2a","young","old","young-old","L1"
"ZSCAN1","MER30",0.00203228850145613,-0.609200896540687,0.0375315442422232,"ZSCAN1-MER30","young","young","young-young","hAT-Charlie"
"ZNF599","Charlie2a",0.043051196068758,-0.425312285198882,0.200958653085064,"ZNF599-Charlie2a","old","old","old-old","hAT-Charlie"
"ZNF599","Charlie4",0.0100154771818138,-0.52552750082848,0.0905389039757594,"ZNF599-Charlie4","old","old","old-old","hAT-Charlie"
"ZNF599","Cheshire",0.0177584718303332,-0.489484417664749,0.123502862360409,"ZNF599-Cheshire","old","old","old-old","hAT-Charlie"
"ZNF599","HSMAR2",0.00583254595838177,-0.556370047401092,0.0672236073951625,"ZNF599-HSMAR2","old","old","old-old","TcMar-Mariner"
"ZNF599","LTR34",0.0493778708901106,-0.414271998131043,0.216876866517236,"ZNF599-LTR34","old","old","old-old","ERV1"
"ZNF599","LTR40b",0.0475894739342248,-0.417275382078026,0.212397255260082,"ZNF599-LTR40b","old","old","old-old","ERVL"
"ZNF599","LTR75",0.0357987503282237,-0.439657558502217,0.18179286982237,"ZNF599-LTR75","old","old","old-old","ERVL"
"ZNF599","MER106B",0.00254006759059717,-0.598741578596973,0.0425691498125666,"ZNF599-MER106B","old","old","old-old","hAT-Charlie"
"ZNF599","MER34C_",0.0120239121671975,-0.514429694880559,0.0999280837329766,"ZNF599-MER34C_","old","old","old-old","ERV1"
"ZNF599","MER47B",0.0168829642966436,-0.492821103876581,0.120036156759763,"ZNF599-MER47B","old","old","old-old","TcMar-Tigger"
"ZNF599","MER4A",0.00429840555553135,-0.572586608172883,0.056780440617404,"ZNF599-MER4A","old","old","old-old","ERV1"
"ZNF599","MER66B",0.00253369083295872,-0.598861461420156,0.042520134742403,"ZNF599-MER66B","old","young","old-young","ERV1"
"ZNF599","MER83",0.000970043556693784,-0.641490444315648,0.0249666830169991,"ZNF599-MER83","old","old","old-old","ERV1"
"ZNF599","MER91C",0.00098305302292439,-0.640939158772028,0.0251389424318375,"ZNF599-MER91C","old","old","old-old","hAT-Tip100"
"ZNF599","MLT1A1",0.044481919743432,-0.422709995935327,0.204678381107884,"ZNF599-MLT1A1","old","old","old-old","ERVL-MaLR"
"ZNF599","MLT1H2",0.0263624855213415,-0.462263394223951,0.153612380251731,"ZNF599-MLT1H2","old","old","old-old","ERVL-MaLR"
"ZNF599","MLT2C1",0.00545616479759472,-0.559984016247362,0.064803902520783,"ZNF599-MLT2C1","old","old","old-old","ERVL"
"ZNF599","MLT2C2",0.00566735109034372,-0.557931521436785,0.0662026853031302,"ZNF599-MLT2C2","old","old","old-old","ERVL"
"ZNF599","MamRep434",0.0406790584534448,-0.429780087615791,0.194953723868733,"ZNF599-MamRep434","old","old","old-old","TcMar-Tigger"
"ZNF599","Tigger13a",0.011726027924304,-0.515974461539644,0.098576277919767,"ZNF599-Tigger13a","old","old","old-old","TcMar-Tigger"
"ZNF599","Tigger2a",0.0303605050967119,-0.452007232806214,0.165992839817356,"ZNF599-Tigger2a","old","old","old-old","TcMar-Tigger"
"ZNF599","Zaphod3",0.00288829838272506,-0.592551642729374,0.0456634075616537,"ZNF599-Zaphod3","old","old","old-old","hAT-Tip100"
"ZNF18","L1M2a",0.0423932981213174,-0.426531672951193,0.19928906891959,"ZNF18-L1M2a","old","old","old-old","L1"
"ZNF18","L1MB1",0.00931174972531972,-0.529852447101099,0.0870136591463002,"ZNF18-L1MB1","old","old","old-old","L1"
"ZNF18","L1MCc",0.0131059571302614,-0.509070066946878,0.104661737331631,"ZNF18-L1MCc","old","old","old-old","L1"
"ZNF18","L1P4e",0.0318287066777361,-0.448510590990625,0.170279263107793,"ZNF18-L1P4e","old","old","old-old","L1"
"ZNF18","L1PA11",0.00761019587665628,-0.541549804886427,0.0777444053276804,"ZNF18-L1PA11","old","old","old-old","L1"
"ZNF18","MER30",0.0171794738191748,-0.491675653208045,0.121227284750529,"ZNF18-MER30","old","young","old-young","hAT-Charlie"
"ZNF18","MER4-int",0.0389489889073913,-0.43316930996364,0.190511538416409,"ZNF18-MER4-int","old","old","old-old","ERV1"
"ZKSCAN2","L1M2b",0.0362800958314806,-0.438637765302955,0.183137382390811,"ZKSCAN2-L1M2b","old","old","old-old","L1"
"ZKSCAN2","L1M4",0.0434496488915306,-0.424580842374181,0.201989791682644,"ZKSCAN2-L1M4","old","old","old-old","L1"
"ZKSCAN2","L1MD",0.0361416532289539,-0.438929974553682,0.182715900957511,"ZKSCAN2-L1MD","old","old","old-old","L1"
"ZKSCAN2","L1MEf",0.0204491031236897,-0.480002621526899,0.133456742289705,"ZKSCAN2-L1MEf","old","old","old-old","L1"
"ZNF689","AluY",0.000664752767856034,-0.656700895885845,0.0203834861009041,"ZNF689-AluY","old","old","old-old","Alu"
"ZNF689","AluYa5",0.000831489909746114,-0.647792258568222,0.0229823835517826,"ZNF689-AluYa5","old","young","old-young","Alu"
"ZNF689","AluYb9",0.00474494893521126,-0.567423367163512,0.0600282818068355,"ZNF689-AluYb9","old","young","old-young","Alu"
"ZNF689","AluYk12",0.000387806296775665,-0.677044094540695,0.0150069547487411,"ZNF689-AluYk12","old","young","old-young","Alu"
"ZNF689","AluYk4",0.00340144145290403,-0.584491346060989,0.0498835769685493,"ZNF689-AluYk4","old","young","old-young","Alu"
