"geneName","teName","pvalue","coef","padj","pair","kznf_age","te_age","age_c"
"ZNF506","LTR3B",5.91719922806166e-07,-0.696753969338756,1.83887892449288e-05,"ZNF506-LTR3B","y","y","y-y"
"ZNF506","LTR6A",4.46454200251925e-13,-0.867391855632129,8.02718228251519e-10,"ZNF506-LTR6A","y","y","y-y"
"ZNF506","MER74B",4.64691328109691e-10,-0.802743031536229,8.44622957972174e-08,"ZNF506-MER74B","y","o","y-o"
"ZNF506","MER88",0.0158349598292569,-0.379139424042266,0.0523489134703019,"ZNF506-MER88","y","o","y-o"
"ZNF506","Tigger16a",5.53671681992353e-05,-0.592941816653333,0.000632584926653683,"ZNF506-Tigger16a","y","o","y-o"
"ZNF506","X6A_LINE",0.000114146961077983,-0.572290074407764,0.00110872944083209,"ZNF506-X6A_LINE","y","o","y-o"
"ZNF257","Charlie4",0.0056844069008694,-0.429459755340502,0.023664039921799,"ZNF257-Charlie4","y","o","y-o"
"ZNF257","HERVE-int",0.00264712356013001,-0.462665949893242,0.0130198306114698,"ZNF257-HERVE-int","y","o","y-o"
"ZNF257","LTR2B",0.0479250276440438,-0.31473566513763,0.12243223286346,"ZNF257-LTR2B","y","y","y-y"
"ZNF257","LTR3B",0.000843709529604803,-0.506915408837425,0.00530084629707372,"ZNF257-LTR3B","y","y","y-y"
"ZNF257","LTR6A",3.27169920044017e-06,-0.662098541395235,6.98976803021035e-05,"ZNF257-LTR6A","y","y","y-y"
"ZNF257","MER74B",0.000747608076893119,-0.511267339322161,0.0048211123874888,"ZNF257-MER74B","y","o","y-o"
"ZNF257","Tigger16a",0.00786250062706484,-0.414318453657384,0.0304830156792536,"ZNF257-Tigger16a","y","o","y-o"
"ZNF257","X6A_LINE",0.00570725344970366,-0.429276589846206,0.0237425391529053,"ZNF257-X6A_LINE","y","o","y-o"
"ZNF716","Charlie4",0.000354939959220781,-0.536864697472128,0.00269833012962663,"ZNF716-Charlie4","y","o","y-o"
"ZNF716","HERVE-int",6.36808432022558e-06,-0.647272601071795,0.000117802489512271,"ZNF716-HERVE-int","y","o","y-o"
"ZNF716","LTR16D1",0.00974450363862991,-0.403917233381345,0.0359901628469769,"ZNF716-LTR16D1","y","o","y-o"
"ZNF716","LTR3B",1.78917936760815e-05,-0.622588498648136,0.000264180377852197,"ZNF716-LTR3B","y","y","y-y"
"ZNF716","LTR6A",5.50144432998481e-12,-0.847173248426081,4.16999592449816e-09,"ZNF716-LTR6A","y","y","y-y"
"ZNF716","MER74B",6.99950319533793e-05,-0.586401839769284,0.000758988128505231,"ZNF716-MER74B","y","o","y-o"
"ZNF716","Tigger16a",1.63210866682585e-05,-0.624872914849729,0.000246165719983776,"ZNF716-Tigger16a","y","o","y-o"
"ZNF716","X6A_LINE",4.98330716374356e-05,-0.595834069348317,0.000583721469048926,"ZNF716-X6A_LINE","y","o","y-o"
"ZNF7","Charlie4",6.45635544788136e-05,-0.588671128280873,0.000712794827559568,"ZNF7-Charlie4","o","o","o-o"
