"geneName","teName","pvalue","coef","padj","pair"
"ZNF506","SVA_A",0.0271137510010076,-0.349396828800648,0.0505773998208419,"ZNF506-SVA_A"
"ZNF506","SVA_B",0.013669140644939,-0.386838118366484,0.0278955951172892,"ZNF506-SVA_B"
"ZNF506","SVA_C",0.00172260531014552,-0.479989094922029,0.00457340524290778,"ZNF506-SVA_C"
"ZNF506","SVA_D",1.1955954989189e-06,-0.683057103157223,8.0812116062054e-06,"ZNF506-SVA_D"
"ZNF506","SVA_E",1.61790884113415e-06,-0.676933364574972,1.04633100729718e-05,"ZNF506-SVA_E"
"ZNF506","SVA_F",0.000105073990697685,-0.574725904264576,0.000394430775218794,"ZNF506-SVA_F"
"ZNF430","SVA_A",0.00215441339044534,-0.471081998913928,0.00556315341795149,"ZNF430-SVA_A"
"ZNF430","SVA_B",0.00136750724501626,-0.488938929526658,0.00373514846220478,"ZNF430-SVA_B"
"ZNF430","SVA_C",0.0010829192434343,-0.497746367623463,0.00304600864339374,"ZNF430-SVA_C"
"ZNF430","SVA_D",2.65983141745908e-05,-0.61251881279967,0.000118311450048033,"ZNF430-SVA_D"
"ZNF430","SVA_E",2.71864133092823e-05,-0.611953174031526,0.000120564052060173,"ZNF430-SVA_E"
